log_fatality_rate,MedHHInc_10k,Region,State,County,UnempRate2019,PctEmpFIRE,PctEmpConstruction,PctEmpTrans,PctEmpMining,PctEmpTrade,PctEmpInformation,PctEmpAgriculture,PctEmpManufacturing,PctEmpServices,PopDensity2010,OwnHomePct,Age65AndOlderPct2010,TotalPop25Plus,Under18Pct2010,Ed2HSDiplomaOnlyPct,Ed3SomeCollegePct,Ed4AssocDegreePct,Ed5CollegePlusPct,ForeignBornPct,Net_International_Migration_Rate_2010_2019,NetMigrationRate1019,NaturalChangeRate1019,TotalPopEst2019,WhiteNonHispanicPct2010,Type_2015_Update,RuralUrbanContinuumCode2013,UrbanInfluenceCode2013,Perpov_1980_0711,HiCreativeClass2000,HiAmenity,Retirement_Destination_2015_Update
-4.442651256490317,5.3876,Midwest,OH,Paulding,3.8,2.977638744,4.356389758,5.700382343,0.104275287,12.73317113,1.007994439,5.190592052,29.26659715,36.43841965,47.1,76.8983269,14.82,13041,25.18,48.77693428,18.72555786,7.683459857,14.10167932,1.404196694,0.286,-5.614,1.089,18672,93.55,3,6,6,0,0,0,0
-3.3886185994552953,5.1534,Midwest,OH,Perry,5.2,4.146341463,10.32300593,6.526038233,1.371127225,13.75741595,0.500988794,0.441661173,15.29993408,43.51351351,88.38,74.26736547,12.92,24496,26.16,44.88487916,18.2887002,10.25065317,12.28363815,0.508545227,0.175,-1.665,1.934,36134,97.54,0,1,1,0,0,0,0
-4.038655656361512,5.8742,Midwest,OH,Pickaway,4,6.985397079,8.129625925,8.441688338,0.172034407,16.47529506,1.24024805,1.932386477,10.34606921,39.47189438,111.1,75.17741281,12.85,39808,23.62,40.98422428,19.80757637,7.852692926,18.59174035,1.241727621,0.115,4.033,0.841,58457,93.83,0,1,1,0,0,0,0
-4.700480365792417,4.5163,Midwest,OH,Pike,6.2,4.090732842,7.667700659,5.835595192,1.124466848,15.30632028,0.717332299,1.337727801,16.12058938,43.60217138,65.21,67.26113473,14.67,19371,24.8,40.44189768,19.28140003,7.526715193,13.76284136,0.2232934,0.01,-2.817,-0.119,27772,96.17,3,7,9,0,0,0,0
-2.5753842347541163,6.3689,Midwest,OH,Portage,4.2,4.437060672,5.61499892,4.230741549,0.363457525,15.5135187,1.589376964,0.694527745,18.07331526,46.47938008,331.2,69.71109641,12.9,104749,20.86,36.28196928,19.87322075,7.284079084,28.67139543,3.987235926,2.584,0.662,0.007,162466,91.39,4,2,2,0,1,0,0
-4.259859000699674,5.3904,Midwest,OH,Preble,3.8,3.445651071,6.728915051,5.845935248,0.441489902,11.22500761,1.385364863,1.877600731,22.53120877,43.38780067,99.67,77.33374767,15.21,28669,24.22,43.64644738,20.52042276,9.414349995,15.81150371,0.863930886,0.472,-2.473,-0.581,40882,97.2,3,6,4,0,0,0,0
-2.9531726591351952,6.4304,Midwest,OH,Putnam,3.1,3.38305046,5.68032459,4.148808503,0.154294531,11.43493914,0.931481799,2.560146294,29.12737871,39.39653694,71.5,80.71925053,14.29,22550,26.67,42.41685144,16.65631929,13.86252772,20.28824834,1.189319674,0.276,-5.375,3.591,33861,93.47,3,6,6,0,0,0,0
-3.667826044916104,4.9668,Midwest,OH,Richland,4.5,4.09805426,4.989277774,4.43054162,0.019673808,14.070707669999999,1.615219658,1.164689449,20.70668319,43.78602766,251.33,67.95283137,16.28,84689,22.51,39.81863052,20.72760335,8.447378054,17.80750747,1.519897135,0.189,-2.307,-0.116,121154,86.54,0,3,2,0,0,0,0
-3.9318256327243257,4.9385,Midwest,OH,Ross,4.2,4.118692019,5.062833081,5.161523784,0.138166985,14.82992302,1.47049148,0.60201329,16.98138035,45.64773998,113.27,69.84033116,13.48,54281,22.53,42.34630902,19.08218345,8.642066285,16.6356552,0.995444576,0.204,-1.985,0.151,76666,90.15,4,4,3,0,0,0,0
-3.367295829986474,5.3978,Midwest,OH,Sandusky,4.3,2.802642796,5.576868429,5.839727195,0.166950838,11.26740551,1.083404376,1.903949986,29.57871554,39.44302359,149.21,71.35217723,15.28,40884,24.4,42.29038255,21.75667743,10.17757558,16.00870756,1.362586216,0.131,-4.088,0.2,58518,86.19,3,4,5,0,0,0,0
-4.51906748693468,4.1267,Midwest,OH,Scioto,6.3,4.111344463,6.553233902,6.019293062,0.437831488,15.7120991,1.238742747,0.697682697,10.07724344,49.64581924,130.28,67.81227149,15.49,52819,22.76,41.97731877,20.04960336,7.804009921,14.97377838,0.932217814,0.266,-4.346,-1.115,75314,93.75,0,4,5,0,0,0,0
-3.3239286008713442,5.2165,Midwest,OH,Seneca,4.1,3.050301193,5.966312397,5.482868434,0.276253693,13.42516211,0.817250508,1.515558455,27.61769558,39.20884012,102.98,71.64234251,14.85,37100,23.56,46.0754717,19.70619946,10.16981132,15.19946092,1.761153673,0.805,-2.49,-0.053,55178,91.18,0,4,5,0,0,0,0
-4.320151230955794,6.3398,Midwest,OH,Shelby,3.5,2.970137207,6.210653753,3.946731235,0.036319613,12.48587571,0.895883777,1.920903955,34.37046005,34.1928975,121.23,70.63240895,12.87,32382,27.32,42.52671237,19.09394108,11.06787722,17.40473102,1.891509724,1.1,-4.681,3.143,48590,93.93,3,4,5,0,0,0,0
-2.734282623379042,5.231,Midwest,OH,Stark,4.5,4.966014937,6.006545271,5.284887136,0.501804145,14.73357389,1.606668345,0.514670918,17.16986937,46.52065676,652.89,68.27427628,16.24,259523,22.89,37.75773246,22.29898699,8.458980514,22.79027292,2.115536515,0.272,-1.194,-0.076,370606,87.73,0,2,2,0,1,0,0
-2.945326881555517,5.889,Midwest,OH,Summit,4.3,6.465399279,4.921216302,4.85823433,0.13946008,15.87333126,1.89058382,0.113217591,14.75727573,48.08785985,1312.62,65.71428571,14.58,378760,22.81,30.55496885,20.16897244,8.772573661,32.05935157,5.028330965,1.605,-0.656,0.539,541013,79.67,0,2,2,0,1,0,0
-2.648802319316198,4.7424,Midwest,OH,Trumbull,6.1,4.139150271,6.171656687,5.625320787,0.208725406,14.06786427,1.286569718,0.585115483,20.08326205,43.76390077,340.15,70.73337744,17.41,143884,22.17,44.9028384,18.5329849,7.15645937,18.46348447,1.531264557,0.001,-3.713,-1.941,197974,88.15,3,2,2,0,0,0,0
-3.8746672188843774,5.103,Midwest,OH,Tuscarawas,4.3,3.545986299,5.992671325,4.7772947630000004,2.373853472,12.87752919,1.508978765,0.650932016,24.62616929,41.00416505,163.1,70.53263438,16.39,64095,23.72,45.72431547,17.11053904,7.231453311,15.79686403,1.684931803,0.678,-1.598,0.997,91987,95.71,3,4,5,0,0,0,0
-5.241747015059643,8.4861,Midwest,OH,Union,3.2,6.955550753,4.282832649,4.574598372,0.190908436,13.30235574,1.354369282,1.069807651,19.06202723,44.53929832,121.14,77.30993554,9.45,37337,27.25,34.14843185,18.78029836,6.658274634,32.96461955,4.46688468,1.094,7.668,4.767,58988,92.1,3,1,1,0,0,0,0
-3.4339872044851463,5.4331,Midwest,OH,Van Wert,3.3,5.380211392,4.609512625,4.991192014,0.154139753,12.59541985,1.313857898,2.304756312,30.55637111,35.20258368,70.25,74.65627463,16.31,19347,24.92,46.12084561,18.40595441,10.31684499,16.18338761,0.558678972,0.244,-2.11,0.704,28275,95.15,3,6,5,0,0,0,0
-2.6149597780361984,4.3457,Midwest,OH,Vinton,5.6,4.454597373,10.16561965,7.557586141,0.399771559,10.67961165,0.552065486,1.066057491,19.60784314,39.40605368,32.58,74.46683624,13.99,9153,24.82,46.23620671,14.79296406,7.276302852,11.48257402,0.335596064,-0.015,-2.544,0.157,13085,97.53,0,8,4,0,0,0,0
-4.009023088465223,8.7391,Midwest,OH,Warren,3.5,7.714546561,4.611363718,3.936486341,0.065339587,14.13751745,1.774014536,0.345494254,16.36443378,47.35419426,529.99,77.53087626,10.78,151708,27.49,25.85756849,16.65963562,8.650170064,42.30429509,6.516480994,1.665,6.814,3.106,234602,89,0,1,1,0,1,0,1
-2.255668173206294,5.0904,Midwest,OH,Washington,5.4,4.534368071,7.124907613,5.946045824,1.385809313,13.88765706,1.563192905,0.890613452,14.48263119,45.54323725,97.75,73.87326465,17.47,43178,20.95,41.75737644,19.04210478,10.90370096,19.22506832,1.338365941,0.264,-1.055,-1.865,59911,95.96,0,4,5,0,0,0,0
-2.5153524163221648,5.9142,Midwest,OH,Wayne,3.2,3.839997122,6.473138006,4.692530441,0.354322919,13.6135542,1.251821076,3.857983057,23.42668034,40.53490171,206.37,73.07594791,14.57,76310,25.45,39.42995676,17.61761237,7.056742236,21.86083082,2.180572766,0.76,-2.245,3.395,115710,94.7,3,4,3,0,0,0,0
-3.7013019741124937,5.4581,Midwest,OH,Williams,3.3,2.385248675,4.635164092,4.764858464,0.129694372,14.10285328,1.285665952,1.996165558,33.57392579,34.14345325,89.42,75.68542569,16.02,25586,23.69,43.44954272,21.45313844,9.614633002,14.98475729,1.107320771,-0.125,-2.868,0.682,36692,93.73,3,6,6,0,0,0,0
-3.0829452431256965,6.4282,Midwest,OH,Wood,3.7,3.602150538,5.302237722,5.123510607,0.258645743,13.43940715,1.454519035,0.950305144,17.62423714,49.37082244,203.32,65.82677478,12.26,80302,21.74,31.07519115,19.6010062,10.26873552,33.13367039,3.369351065,1.152,1.909,1.956,130817,90.07,3,2,2,0,1,0,0
-2.843851742261272,5.5995,Midwest,OH,Wyandot,3.1,2.504799342,7.560106043,4.077155133,0.301672913,11.74696042,0.895877137,3.263552427,29.01544931,37.45314928,55.58,72.71925959,16.27,15327,24.32,46.23213936,17.64206955,11.23507536,15.74345925,2.012937079,0.27,-3.759,0.146,21772,96.07,3,7,9,0,0,0,0
-3.828641396489095,3.5156,Southwest,OK,Adair,4.2,3.22660403,6.30485845,4.48757572,0.55631104,12.21411794,0.988997404,4.215601434,23.76066263,38.57089875,39.55,68.57401188,12.93,14351,28.03,45.56476901,18.56316633,4.522332938,11.58107449,1.72296839,0.141,-5.26,2.79,22194,42.14,3,6,6,1,0,0,0
-2.772588722239781,5.2952,Southwest,OK,Alfalfa,2.1,5.351473923,6.757369615,6.712018141,10.6122449,11.33786848,1.541950113,14.10430839,3.537414966,30.56689342,6.51,77.93667007,20.24,4302,18.04,39.07484891,21.50162715,6.066945607,20.15341702,3.619600478,0.675,2.221,-0.924,5702,87.26,1,9,10,0,0,0,0
-4.051784947803305,3.9702,Southwest,OK,Atoka,4.3,4.82773288,8.124202467,6.529136538,3.445342407,11.93109315,0.489153552,4.572522331,8.315610379,43.49213101,14.54,73.74575632,16.12,9689,23.61,40.60274538,21.90112499,5.160491279,14.98606667,1.491999423,0.373,-3.363,0.155,13758,72.75,1,9,9,0,0,1,0
-3.828641396489095,5.255,Southwest,OK,Beaver,2,3.799582463,10.98121086,8.434237996,10.56367432,12.90187891,0.208768267,13.56993737,7.223382046,28.55949896,3.11,77.60236803,15.47,3628,26.06,35.99779493,23.40132304,5.099228225,19.707828,9.399815328,1.474,-7.548,1.865,5311,76.53,1,9,10,0,0,0,0
-4.151039905898646,4.7825,Southwest,OK,Beckham,3.2,5.091627346,6.715680895,4.378360584,16.75628223,14.92373532,1.064413475,1.931306924,5.706134094,37.70437836,24.53,64.98280878,12.72,14923,24.13,38.39040407,23.23929505,8.06138176,17.34235743,3.67799832,0.023,-4.964,4.048,21859,78.93,2,7,8,0,0,0,0
-3.071198769500852,3.3652,Southwest,AZ,Apache,9.9,3.130955622,7.982575551,7.046011435,1.01824122,10.36210182,0.958344677,1.230601688,2.178056085,54.28260278,6.39,78.39176269,11.56,44426,31.68,33.1067393,27.45239274,7.311034079,11.68009724,1.66522189,0.693,-4.416,4.497,71887,20.37,4,6,6,1,0,1,0
-3.6506582412937383,4.9513,Southwest,OK,Blaine,2,4.228855721,5.583195135,4.090657822,7.545605307,14.013267,1.105583195,10.00552792,8.485351023,39.22056385,12.86,76.76560901,14.44,7047,21.37,34.45437775,24.39335888,7.066836952,16.60280971,7.670749429,1.534,-6.287,1.433,9429,62.9,2,6,4,0,0,0,0
-5.028802598051705,4.3445,Southwest,OK,Bryan,3,5.953858887,6.150424167,4.107179806,1.660459342,13.16987378,1.200082764,2.038071591,10.86281813,48.46885992,46.9,61.89893338,15.75,30558,23.37,32.01125728,25.64631193,5.514104326,22.84508148,2.27277694,0.364,10.935,1.783,47995,73.78,0,6,5,0,0,1,1
-3.3063632789913164,4.8533,Southwest,OK,Caddo,3.6,4.267210788,9.332860185,6.857700497,6.493967353,13.31618169,1.437189496,5.278566359,4.524485451,39.41625266,23.16,71.71291303,14.67,19434,25.3,39.86312648,23.68529381,5.670474426,16.27559946,5.016699611,1.182,-4.245,1.077,28762,59.52,0,6,4,1,0,0,0
-4.780415482955332,7.0942,Southwest,OK,Canadian,2.9,6.47068245,6.288676306,5.316035469,5.118012784,15.88840839,1.613302465,0.773162102,8.101457505,42.571965230000004,128.86,75.78025228,10.88,90270,26.91,29.46161515,26.8084635,9.212362911,26.81289465,4.461268378,0.591,21.498,5.956,148306,79.73,0,1,1,0,1,0,0
-4.089571283469443,4.866,Southwest,OK,Carter,3.4,4.536112041,7.045552316,5.697624397,4.564791358,14.94670427,0.650064528,1.381387123,12.8865733,44.50552077,57.84,68.58638743,14.88,32137,25.75,36.39418739,23.25357065,7.14752466,20.6148676,3.073999091,0.314,-0.266,0.889,48111,72.54,2,5,8,0,0,1,0
-4.454347296253507,4.2913,Southwest,OK,Cherokee,4,3.892231232,5.765105938,4.007324091,0.575464295,13.81637457,0.795187026,3.588804604,6.916034528,51.53544337,62.7,67.46228873,13.49,30357,24.12,31.41285371,22.78881312,5.916263135,25.04858846,3.469207185,0.721,1.632,1.617,48657,50.21,0,6,5,1,0,1,0
