log_price,neighborhood,yrblt,beds,rooms,fbath,hbath,tax_bill_rate,tax_bill_amount_total,bldg,lake_michigan_dist_ft,nearest_cta_stop_dist_ft,percent_age_children,percent_age_senior,percent_mobility_no_move,percent_mobility_moved_in_county,percent_mobility_moved_from_state,percent_household_family_married,percent_household_nonfamily_alone,percent_education_high_school,percent_education_bachelor,percent_education_graduate,percent_income_below_poverty_level,percent_income_household_received_snap_past_year,percent_employment_unemployed,percent_household_owner_occupied,percent_household_total_occupied_w_sel_cond,land,over_500K
12.7068479334427,IRVING PARK,1923,4,10,2,0,6.913,7582.52,2610,16993.3703068564,2054.05280298925,0.245389649018441,0.0814991076740036,0.868646662584201,0.114206981016534,0,0.390337423312884,0.361196319018405,0.149935372684188,0.349849202929772,0.162429987074537,0.0797144556811422,0.071319018404908,0.0311601150527325,0.490030674846626,0.374233128834356,3.75,0
13.1021606700868,JEFFERSON PARK,1989,8,16,3,0,6.89,7850.19,3020,30699.8936651434,5313.75856623966,0.276931447225245,0.159231048240842,0.90767539842462,0.0740062282469317,0.0119069426634915,0.51267336202773806,0.313725490196078,0.219159753813219,0.232004281509232,0.101150655606101,0.0993833877402974,0.0693448110951698,0.0504385964912281,0.649928263988522,0.422764227642276,3,0
12.9692121979102,JEFFERSON PARK,1922,3,6,1,0,6.894,4748.31,1510,28897.0556214187,3175.70945383021,0.212662032688334,0.15404846890851,0.91611185086551306,0.0570667681186989,0.00989157314057447,0.595505617977528,0.225280898876405,0.257713707637835,0.245068285280728,0.137835103692463,0.0772727272727273,0.0955056179775281,0.0505473277527366,0.748314606741573,0.315168539325843,3.75,0
13.5797882244432,IRVING PARK,1910,5,10,4,0,6.913,13164.36,2911,20802.3103528208,2887.30883534143,0.210181664554288,0.134347275031686,0.905027932960894,0.0880962612806188,0.00472711645896003,0.47574931880109,0.28991825613079,0.186681844052362,0.253557199772339,0.177859988616961,0.129217059197963,0.0822888283378747,0.0272401433691756,0.502452316076294,0.404359673024523,6.25,1
13.1615840905576,IRVING PARK,1902,3,6,1,1,6.913,5007.43,1403,20314.4683285279,2865.61833686414,0.235988200589971,0.106999195494771,0.861938278289118,0.118841364374662,0,0.401459854014599,0.230656934306569,0.286003236245955,0.22046925566343,0.0910194174757282,0.127916331456154,0.145255474452555,0.055475156777617,0.430656934306569,0.405839416058394,3.15,1
13.1806322855283,JEFFERSON PARK,1952,3,6,1,1,6.894,6760.39,1296,31925.172005575,8180.84677043592,0.276931447225245,0.159231048240842,0.90767539842462,0.0740062282469317,0.0119069426634915,0.51267336202773806,0.313725490196078,0.219159753813219,0.232004281509232,0.101150655606101,0.0993833877402974,0.0693448110951698,0.0504385964912281,0.649928263988522,0.422764227642276,3.875,1
12.8583978315699,JEFFERSON PARK,1922,4,8,2,0,6.894,5536.64,880,30585.9574355687,2798.0854795968,0.212662032688334,0.15404846890851,0.91611185086551306,0.0570667681186989,0.00989157314057447,0.595505617977528,0.225280898876405,0.257713707637835,0.245068285280728,0.137835103692463,0.0772727272727273,0.0955056179775281,0.0505473277527366,0.748314606741573,0.315168539325843,3.72,0
12.8866410438833,JEFFERSON PARK,1951,4,7,1,0,6.894,4341.36,1186,35121.6824604228,7010.65256979646,0.230538360532733,0.174451322453573,0.916571645762068,0.0792474344355758,0.00209045990117826,0.441115702479339,0.284607438016529,0.236269430051813,0.221761658031088,0.0844559585492228,0.130557118739449,0.130165289256198,0.0337159253945481,0.817665289256198,0.288739669421488,3.72,0
13.2140305659302,IRVING PARK,1924,4,10,2,0,6.913,6816.08,2140,15819.7154900218,2766.25425565477,0.245389649018441,0.0814991076740036,0.868646662584201,0.114206981016534,0,0.390337423312884,0.361196319018405,0.149935372684188,0.349849202929772,0.162429987074537,0.0797144556811422,0.071319018404908,0.0311601150527325,0.490030674846626,0.374233128834356,3.125,1
12.6443275764613,JEFFERSON PARK,1923,4,6,1,0,6.894,5848.11,1152,35843.1195640215,6347.61987000789,0.230538360532733,0.174451322453573,0.916571645762068,0.0792474344355758,0.00209045990117826,0.441115702479339,0.284607438016529,0.236269430051813,0.221761658031088,0.0844559585492228,0.130557118739449,0.130165289256198,0.0337159253945481,0.817665289256198,0.288739669421488,3.72,0
13.407542319638,JEFFERSON PARK,1914,2,8,2,1,6.894,9619.2,2371,30376.2170737293,1059.33649648174,0.189423614997202,0.169278119753777,0.869219858156028,0.104113475177305,0.0178723404255319,0.376478318002628,0.403416557161629,0.302113702623907,0.279154518950437,0.114431486880466,0.10576385002798,0.161629434954008,0.0184746565608716,0.47634691195795,0.369908015768725,9.513,1
12.3013828253345,JEFFERSON PARK,1960,2,4,1,0,6.894,4342.19,980,28156.5084938221,2018.4214093014,0.189423614997202,0.169278119753777,0.869219858156028,0.104113475177305,0.0178723404255319,0.376478318002628,0.403416557161629,0.302113702623907,0.279154518950437,0.114431486880466,0.10576385002798,0.161629434954008,0.0184746565608716,0.47634691195795,0.369908015768725,3.15,0
12.8400004664301,JEFFERSON PARK,1953,3,5,1,0,6.894,5267.15,995,35119.6054727389,6649.66220760533,0.230538360532733,0.174451322453573,0.916571645762068,0.0792474344355758,0.00209045990117826,0.441115702479339,0.284607438016529,0.236269430051813,0.221761658031088,0.0844559585492228,0.130557118739449,0.130165289256198,0.0337159253945481,0.817665289256198,0.288739669421488,4.29,0
